DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-101.2867632,0.034134127,13783716416,1.10E-05,38231021798,9.95E-06,1.92207E+11,1.20E-05,1.68E-05,1.168034139,0.185827646,0.259686648,0.259686648
-107.6900661,0.027241735,14178894506,1.01E-05,23542316405,8.54E-06,1.99764E+11,1.19E-05,5.90E-06,2.759879436,0.184861777,0.252878828,0.252878828
-118.2747482,0.033047007,14224647595,9.73E-06,26035539762,1.09E-05,2.08595E+11,1.24E-05,1.63E-06,2.797136232,0.231908857,0.272568485,0.272568485
-75.76833022,0.020223328,7096861983,1.21E-05,15357685813,9.94E-06,1.95459E+11,1.24E-05,1.69E-06,0.895562935,0.114291667,0.210047183,0.210047183
-66.36153176,0.032364498,9584363228,1.23E-05,25324020415,1.07E-05,2.06476E+11,1.10E-05,1.26E-06,2.219212587,0.097495106,0.189260252,0.189260252
-106.9768494,0.036708766,5967625779,1.18E-05,17327353191,1.10E-05,1.9477E+11,1.30E-05,1.35E-05,1.764197367,0.215488883,0.295191986,0.295191986
-101.8290034,0.033873382,7878476785,1.18E-05,16737789903,5.79E-06,2.07606E+11,1.23E-05,1.08E-06,1.897870294,0.185021928,0.271841476,0.271841476
-92.47797709,0.034149099,5288950285,1.14E-05,30872568527,1.10E-05,1.96844E+11,1.28E-05,1.86E-06,0.654304632,0.186786897,0.245033798,0.245033798
-116.1129888,0.02081072,6915233348,1.07E-05,26754078798,5.01E-06,1.99234E+11,1.26E-05,3.24E-05,0.562251271,0.203729481,0.27659572,0.27659572
-47.78120478,0.022457051,5100369914,1.24E-05,11707105750,5.04E-06,1.98131E+11,1.06E-05,3.67E-05,0.703923348,0.0564502,0.131810979,0.131810979
-20.62508449,0.039752997,11662464124,9.78E-06,20905846549,7.13E-06,2.03094E+11,1.26E-05,3.91E-05,1.424772798,0.043383793,0.046617037,0.046617037
-43.40837163,0.021964875,11666278160,8.88E-06,20965184342,8.71E-06,1.91E+11,1.12E-05,3.17E-06,1.649396523,0.068035187,0.089650469,0.089650469
-107.4129328,0.024100454,18312086863,1.28E-05,13060429115,5.21E-06,1.99705E+11,1.17E-05,1.84E-06,2.930939437,0.145394736,0.308614402,0.308614402
-113.6595981,0.027827653,14365484746,1.06E-05,15876833672,1.03E-05,1.90892E+11,1.24E-05,2.86E-05,0.748409571,0.210460805,0.278652341,0.278652341
-74.82005695,0.031399777,17078380716,9.02E-06,14578524036,6.97E-06,2.08187E+11,1.08E-05,1.61E-05,0.809658736,0.125324427,0.154888246,0.154888246
-44.08368674,0.0245381,6243401757,1.01E-05,38087005150,8.37E-06,2.09132E+11,1.21E-05,4.07E-06,1.998283907,0.075271442,0.102833672,0.102833672
-118.9743065,0.025369707,6271135231,8.56E-06,36526309337,7.81E-06,2.04704E+11,1.15E-05,3.53E-06,1.775307482,0.206631976,0.236260634,0.236260634
-101.9534352,0.028353975,8591048182,1.04E-05,17133936065,9.93E-06,1.95954E+11,1.13E-05,3.65E-06,2.699204747,0.162247476,0.246763183,0.246763183
-36.47786041,0.025019948,15108950692,1.16E-05,39591201691,8.14E-06,1.96254E+11,1.15E-05,8.13E-06,0.589384504,0.055750391,0.095809468,0.095809468
-95.45270345,0.033989575,19671078486,1.06E-05,27411722667,1.07E-05,2.09527E+11,1.06E-05,2.17E-05,1.423599679,0.147260937,0.236766192,0.236766192
-35.16269233,0.030187556,7575659114,1.13E-05,19660502964,8.53E-06,1.91808E+11,1.17E-05,1.08E-06,1.021626097,0.058716257,0.091605814,0.091605814
-43.18714862,0.034139488,7492424851,9.29E-06,16416370498,9.58E-06,2.03318E+11,1.14E-05,1.95E-05,1.194134029,0.077860558,0.094195819,0.094195819
-53.65475543,0.025256727,12163212568,1.16E-05,10595620270,5.00E-06,2.0127E+11,1.07E-05,1.22E-06,0.821266078,0.072449756,0.138591583,0.138591583
-111.8018117,0.035234413,9133182612,9.68E-06,31290970039,9.25E-06,2.01705E+11,1.21E-05,2.28E-06,1.293216092,0.217821585,0.253063418,0.253063418
-46.1432771,0.024087681,12544706237,1.25E-05,32460751515,5.24E-06,2.02245E+11,1.20E-05,1.63E-06,2.75806783,0.066792738,0.12980306,0.12980306
-63.86682842,0.025922161,16204001020,1.29E-05,33253689315,1.03E-05,2.0374E+11,1.14E-05,7.54E-06,1.042995376,0.088195075,0.188646147,0.188646147
-58.79364437,0.031838961,18448748811,9.54E-06,19706910228,9.05E-06,2.0482E+11,1.25E-05,3.72E-06,0.67397557,0.118511006,0.130022185,0.130022185
-43.69782906,0.021832699,8105276402,1.02E-05,18435826267,5.63E-06,1.97761E+11,1.15E-05,1.64E-05,1.791504554,0.065719215,0.100398895,0.100398895
-118.0822902,0.020150225,7511472675,1.03E-05,18927753976,5.16E-06,2.08695E+11,1.08E-05,3.29E-05,1.797460996,0.154753397,0.272570189,0.272570189
-65.71809763,0.033963629,12870545090,1.00E-05,10527073335,9.74E-06,1.92747E+11,1.18E-05,2.51E-05,0.807744614,0.123273252,0.153137675,0.153137675
-85.27124665,0.021442489,19727114794,9.04E-06,32242971633,8.74E-06,2.02277E+11,1.21E-05,1.09E-06,0.724402889,0.15095043,0.177741078,0.177741078
-101.640136,0.036182543,8404432618,1.21E-05,26802056907,8.61E-06,1.93234E+11,1.18E-05,7.15E-06,2.970045447,0.175549044,0.284695844,0.284695844
-94.32431641,0.024658208,11569411516,1.05E-05,14142756583,8.16E-06,2.01242E+11,1.19E-05,1.07E-06,2.082580328,0.152923772,0.228079351,0.228079351
-28.10836093,0.024708123,7607151589,8.91E-06,11142723449,9.99E-06,1.95667E+11,1.15E-05,1.04E-05,1.29070787,0.04737857,0.058842463,0.058842463
-44.12271543,0.036710521,8966005573,1.18E-05,12003719210,1.09E-05,2.02413E+11,1.07E-05,4.87E-06,1.716593355,0.067245225,0.121731615,0.121731615
-79.13483764,0.026960164,5144807298,9.64E-06,20570055055,9.98E-06,2.09808E+11,1.28E-05,3.26E-06,0.900444063,0.15661716,0.17776291,0.17776291
-83.57399938,0.02028764,12839710707,8.57E-06,32315631091,9.04E-06,1.92237E+11,1.06E-05,9.47E-06,2.403074427,0.11876816,0.167506612,0.167506612
-81.05617113,0.036389091,19568363179,9.32E-06,19046508178,1.05E-05,1.98427E+11,1.24E-05,4.02E-06,1.362885393,0.165924728,0.178881786,0.178881786
-80.31853968,0.021871446,14937748662,1.08E-05,13093617033,9.41E-06,1.95507E+11,1.12E-05,2.53E-05,0.932074321,0.11372747,0.198843468,0.198843468
-71.76372489,0.027419898,12391430853,1.20E-05,11324896718,1.10E-05,1.92328E+11,1.24E-05,1.67E-05,2.829240973,0.119435229,0.200708584,0.200708584
-82.23568704,0.033010516,5458223226,9.11E-06,32907091543,8.62E-06,2.05924E+11,1.06E-05,2.57E-06,0.876887853,0.135205776,0.174321014,0.174321014
-45.98896533,0.021555177,10616270016,1.01E-05,36550569162,1.02E-05,1.91117E+11,1.25E-05,1.43E-06,1.623547658,0.079444168,0.108540303,0.108540303
-40.33346916,0.031920953,9488150623,9.39E-06,31625622170,7.87E-06,1.95446E+11,1.20E-05,3.32E-06,2.941665317,0.076048908,0.088005996,0.088005996
-82.79671707,0.039614435,13304352448,8.96E-06,33644569984,8.92E-06,1.96978E+11,1.18E-05,3.29E-06,1.126809347,0.1650368,0.174260405,0.174260405
-113.8012759,0.022668152,16576973895,8.60E-06,32182971740,1.09E-05,2.03982E+11,1.28E-05,2.99E-06,2.426724215,0.222071838,0.232470506,0.232470506
-47.97674426,0.032663567,5435450738,1.03E-05,27492451035,1.07E-05,1.96983E+11,1.15E-05,2.24E-05,1.572861186,0.083452012,0.116309159,0.116309159
-86.31104192,0.020618644,5071607432,1.01E-05,14379885138,1.02E-05,1.95115E+11,1.30E-05,1.07E-05,2.534288439,0.153895399,0.204016465,0.204016465
-60.75089955,0.030471516,14494747088,8.35E-06,18845176694,7.57E-06,2.04231E+11,1.14E-05,2.69E-06,0.656625712,0.112343577,0.117188184,0.117188184
