geo_id,sim_id,KH,Kh,E_Sv,nu,c_Sv,phi,pw_Sv,dilationRatio,status,is_collapsed,max_eq_plastic_strain,rp_max_rw,rp_severe_rw,theta_breakout,theta_breakout_severe,plastic_area_fraction,sigma_theta_max,ur_max_abs_rw,ur_convergence_rw,ur_expansion_rw,Regime,Sv_MPa,Hardening_over_Sv
dataset_batch_7_geo_batch7_0790,dataset_batch_7_geo_batch7_0790_sim_001,0.951978344,0.516854532,908.9402064,0.210454216,0.045917415,21.53698938,0.514793398,0,SUCCESS,0,8.94E-05,1.126487851,1,90,0,0.013682332,105827456.2,0.000917567,0.000917567,0.000351156,1,60,16.66666667
dataset_batch_7_geo_batch7_0791,dataset_batch_7_geo_batch7_0791_sim_001,1.113854477,0.676590386,275.6685932,0.230713778,0.049349394,20.87196525,0.773910185,0,SUCCESS,0,8.94E-05,1.040518522,1,9,0,0.00594884,110080455.1,0.002564899,0.002564899,0.001501686,1,60,16.66666667
dataset_batch_7_geo_batch7_0792,dataset_batch_7_geo_batch7_0792_sim_001,1.028785287,0.527875977,195.5019889,0.317715861,0.059201691,21.56575443,0.530675071,0,SUCCESS,0,0.000432109,1.082659483,1.040518522,90,90,0.017251636,114493993.3,0.004581383,0.004581383,0.001493319,2,60,16.66666667
dataset_batch_7_geo_batch7_0793,dataset_batch_7_geo_batch7_0793_sim_001,1.065449839,0.503715717,670.5580732,0.186784696,0.059835079,25.2864157,0.531821368,0,SUCCESS,0,0.000236915,1.126487851,1.040518522,15.75,8.999999046,0.015466984,125073728.7,0.001567238,0.001567238,0.000691389,2,60,16.66666667
dataset_batch_7_geo_batch7_0794,dataset_batch_7_geo_batch7_0794_sim_001,1.158485264,0.5815133,572.1097332,0.205072785,0.081927434,23.41295955,0.599855639,0,SUCCESS,0,9.10E-05,1.040518522,1,90,0,0.009518144,132755716.7,0.001891165,0.001891165,0.000784192,1,60,16.66666667
dataset_batch_7_geo_batch7_0795,dataset_batch_7_geo_batch7_0795_sim_001,1.167201516,0.607777378,137.6456838,0.233089833,0.056600032,23.62528522,0.637230027,0,SUCCESS,0,0.000406883,1.040518522,1.040518522,9,6.75,0.00594884,130836380.2,0.007412179,0.007412179,0.00308312,2,60,16.66666667
dataset_batch_7_geo_batch7_0796,dataset_batch_7_geo_batch7_0796_sim_001,1.012183995,0.499339151,498.2021479,0.278919314,0.061769608,21.87920731,0.451753189,0,SUCCESS,0,0.000796556,1.126487851,1.040518522,90,90,0.028554432,111607117.3,0.002026326,0.002026326,0.000574117,2,60,16.66666667
dataset_batch_7_geo_batch7_0797,dataset_batch_7_geo_batch7_0797_sim_001,1.076622398,0.559451822,752.2990087,0.166941953,0.091341903,21.64251395,0.65462452,0,SUCCESS,0,0.000182843,1.126487851,1.040518522,90,6.75,0.017251636,116544561.9,0.001188528,0.001188528,0.00068545,2,60,16.66666667
dataset_batch_7_geo_batch7_0798,dataset_batch_7_geo_batch7_0798_sim_001,0.961268426,0.501569418,437.2419254,0.218488904,0.058649245,21.64755898,0.495969073,0,SUCCESS,0,0.000205399,1.126487851,1.040518522,90,8.999999046,0.019631172,108216827.8,0.002017578,0.002017578,0.000751876,2,60,16.66666667
dataset_batch_7_geo_batch7_0799,dataset_batch_7_geo_batch7_0799_sim_001,1.169769345,0.610223148,969.4706645,0.287652276,0.04759388,24.71349162,0.497878243,0,SUCCESS,0,0.000299153,1.040518522,1.040518522,90,13.50000477,0.016656752,130032682.8,0.001210956,0.001210956,0.000258342,2,60,16.66666667
dataset_batch_7_geo_batch7_0800,dataset_batch_7_geo_batch7_0800_sim_001,1.058210817,0.570885171,270.0527172,0.166259067,0.042780536,22.22728972,0.587201091,0,SUCCESS,0,0.000320465,1.082659483,1.040518522,90,90,0.018441404,114658764.6,0.003439153,0.003439153,0.001511116,2,60,16.66666667
dataset_batch_7_geo_batch7_0801,dataset_batch_7_geo_batch7_0801_sim_001,1.156843504,0.550402446,313.2262535,0.257709903,0.119778211,22.83221315,0.536479909,0,SUCCESS,0,0.000102519,1.040518522,1,90,0,0.010113028,137007382.4,0.003665676,0.003665676,0.001247161,1,60,16.66666667
dataset_batch_7_geo_batch7_0802,dataset_batch_7_geo_batch7_0802_sim_001,1.125573344,0.453449453,978.8571583,0.163653724,0.123599265,26.68971752,0.515830597,0,SUCCESS,0,0.000248963,1.126487851,1.040518522,15.75,8.999999046,0.015466984,139046216.2,0.001262835,0.001262835,0.000620744,2,60,16.66666667
dataset_batch_7_geo_batch7_0803,dataset_batch_7_geo_batch7_0803_sim_001,1.034912504,0.558597265,765.0452089,0.328176034,0.078224632,20.21587264,0.451971311,0,SUCCESS,0,0.0006979,1.126487851,1.082659483,90,22.50000191,0.02676978,109982324.2,0.0013065,0.0013065,0.000232135,2,60,16.66666667
dataset_batch_7_geo_batch7_0804,dataset_batch_7_geo_batch7_0804_sim_001,1.115670152,0.560613004,977.061964,0.237510745,0.055787063,26.40056331,0.524063194,0,SUCCESS,0,2.67E-05,1.040518522,1,9,0,0.00594884,131055631.9,0.001116823,0.001116823,0.00035842,1,60,16.66666667
dataset_batch_7_geo_batch7_0805,dataset_batch_7_geo_batch7_0805_sim_001,1.157068638,0.606872169,442.4908652,0.32730401,0.045838876,24.04071468,0.508135355,0,SUCCESS,0,0.000641148,1.040518522,1.040518522,90,18,0.016656752,127439166,0.002524939,0.002524939,0.000508297,2,60,16.66666667
dataset_batch_7_geo_batch7_0806,dataset_batch_7_geo_batch7_0806_sim_001,1.124612945,0.542489467,497.9752306,0.170690129,0.126266133,23.07227254,0.452879826,0,SUCCESS,0,0.000553632,1.082659483,1.040518522,90,13.50000477,0.01784652,128877737.8,0.002482389,0.002482389,0.000758295,2,60,16.66666667
dataset_batch_7_geo_batch7_0807,dataset_batch_7_geo_batch7_0807_sim_001,1.146822297,0.597516716,137.3509733,0.252102786,0.049104763,25.07247935,0.574279425,0,SUCCESS,0,0.000138361,1.040518522,1,6.75,2.249999762,0.004759072,131514738.8,0.007690351,0.007690351,0.002530385,2,60,16.66666667
dataset_batch_7_geo_batch7_0808,dataset_batch_7_geo_batch7_0808_sim_001,1.013140773,0.49036252,129.5952767,0.275242924,0.042534418,26.00362842,0.401753654,0,SUCCESS,0,0.000881351,1.082659483,1.082659483,90,90,0.02082094,120181252.1,0.008324013,0.008324013,0.00194412,2,60,16.66666667
dataset_batch_7_geo_batch7_0809,dataset_batch_7_geo_batch7_0809_sim_001,1.143142655,0.49803883,664.118286,0.172199148,0.084151023,26.40203097,0.501644838,0,SUCCESS,0,0.000242138,1.126487851,1.040518522,15.75,8.999999046,0.0148721,140459637.8,0.001878287,0.001878287,0.000775862,2,60,16.66666667
dataset_batch_7_geo_batch7_0810,dataset_batch_7_geo_batch7_0810_sim_001,1.102920344,0.545596574,306.0635798,0.285521917,0.077780091,22.21209621,0.495072251,0,SUCCESS,0,0.00103598,1.082659483,1.040518522,90,90,0.02082094,122005407.8,0.0035612,0.0035612,0.000990155,2,60,16.66666667
dataset_batch_7_geo_batch7_0811,dataset_batch_7_geo_batch7_0811_sim_001,1.049737826,0.505113179,258.5969827,0.254047591,0.099074606,21.78923996,0.492977023,0,SUCCESS,0,0.000509758,1.082659483,1.040518522,90,90,0.017251636,119664846.8,0.003996563,0.003996563,0.001376763,2,60,16.66666667
dataset_batch_7_geo_batch7_0812,dataset_batch_7_geo_batch7_0812_sim_001,1.069884927,0.547432033,297.1447414,0.277574911,0.110664802,20.75857903,0.473811939,0,SUCCESS,0,0.001023205,1.082659483,1.040518522,90,15.74999905,0.017251636,117870960.3,0.003565872,0.003565872,0.000892416,2,60,16.66666667
dataset_batch_7_geo_batch7_0813,dataset_batch_7_geo_batch7_0813_sim_001,0.977690189,0.52551646,326.1745755,0.32846824,0.061808305,22.486803,0.43104945,0,SUCCESS,0,0.000588185,1.040518522,1.040518522,90,13.50000477,0.015466984,108278512.1,0.002857721,0.002857721,0.000509608,2,60,16.66666667
dataset_batch_7_geo_batch7_0814,dataset_batch_7_geo_batch7_0814_sim_001,1.079678183,0.573063577,306.439226,0.23757978,0.04422381,24.77177113,0.534591492,0,SUCCESS,0,6.71E-05,1.040518522,1,9,0,0.00594884,123594684.3,0.003270639,0.003270639,0.001026562,1,60,16.66666667
dataset_batch_7_geo_batch7_0815,dataset_batch_7_geo_batch7_0815_sim_001,1.166865504,0.601365591,782.8892081,0.241865858,0.053693939,26.27585737,0.728702866,0,SUCCESS,0,0.000229849,1.082659483,1.040518522,13.5,6.75,0.011302796,125863426.9,0.001154849,0.001154849,0.000675327,2,60,16.66666667
dataset_batch_7_geo_batch7_0816,dataset_batch_7_geo_batch7_0816_sim_001,1.122097757,0.676774945,668.7385704,0.160533567,0.054318878,22.10316106,0.463383378,0,SUCCESS,0,0.000951981,1.126487851,1.082659483,29.25000381,24.75000191,0.027959548,115945955.6,0.001690431,0.001690431,0.000279798,2,60,16.66666667
dataset_batch_7_geo_batch7_0817,dataset_batch_7_geo_batch7_0817_sim_001,0.857748811,0.406427089,627.2624738,0.150368338,0.115753951,20.41174981,0.40863389,0,SUCCESS,0,0.000201512,1.172071099,1.040518522,90,11.25,0.02676978,101640031.4,0.001407485,0.001407485,0.00059761,2,60,16.66666667
dataset_batch_7_geo_batch7_0818,dataset_batch_7_geo_batch7_0818_sim_001,1.042066621,0.545017526,513.4870301,0.191800947,0.098649835,20.87318087,0.515044387,0,SUCCESS,0,0.000252422,1.040518522,1.040518522,90,6.750002384,0.014277216,114978047.8,0.001933459,0.001933459,0.000683884,2,60,16.66666667
dataset_batch_7_geo_batch7_0819,dataset_batch_7_geo_batch7_0819_sim_001,1.053527054,0.566860958,173.7855634,0.157458197,0.079901875,21.54505919,0.675192836,0,SUCCESS,0,0.000823978,1.126487851,1.082659483,90,11.25,0.017251636,111339989,0.004739234,0.004739234,0.002948863,2,60,16.66666667
dataset_batch_7_geo_batch7_0820,dataset_batch_7_geo_batch7_0820_sim_001,0.908252177,0.523612774,135.7898303,0.226276202,0.057178596,21.52741732,0.436374612,0,SUCCESS,0,0.000741344,1.040518522,1.040518522,90,90,0.014277216,98943824.95,0.006159452,0.006159452,0.001408583,2,60,16.66666667
dataset_batch_7_geo_batch7_0821,dataset_batch_7_geo_batch7_0821_sim_001,0.940977686,0.556992386,522.7121127,0.158004251,0.057204182,20.46136453,0.718963958,0,SUCCESS,0,0.000370075,1.172071099,1.082659483,18,13.5,0.021415824,90048009.29,0.001073942,0.001073942,0.000945388,2,60,16.66666667
dataset_batch_7_geo_batch7_0822,dataset_batch_7_geo_batch7_0822_sim_001,1.124550666,0.601508952,626.6644079,0.176092494,0.060386124,25.98311136,0.768474796,0,SUCCESS,0,0.00029385,1.126487851,1.040518522,13.5,8.999999046,0.012492564,116300900,0.001301652,0.001301652,0.000949897,2,60,16.66666667
dataset_batch_7_geo_batch7_0823,dataset_batch_7_geo_batch7_0823_sim_001,0.924148263,0.435212766,768.1721196,0.333757713,0.110672753,20.69658995,0.402377559,0,SUCCESS,0,0.000235156,1.082659483,1.040518522,90,9.000002861,0.020226056,105803180.8,0.001187603,0.001187603,0.000311236,2,60,16.66666667
dataset_batch_7_geo_batch7_0824,dataset_batch_7_geo_batch7_0824_sim_001,1.080575553,0.533695731,834.6685271,0.218264454,0.101553628,20.91365101,0.535134422,0,SUCCESS,0,0.000210104,1.082659483,1.040518522,90,9.000002861,0.01784652,119471949.4,0.00124587,0.00124587,0.000480947,2,60,16.66666667
dataset_batch_7_geo_batch7_0825,dataset_batch_7_geo_batch7_0825_sim_001,1.164394329,0.506701457,602.1334491,0.330318408,0.107644971,24.99313308,0.50833373,0,SUCCESS,0,0.00015654,1.082659483,1,11.25,2.249999762,0.008328376,143234890,0.001938101,0.001938101,0.000609586,2,60,16.66666667
dataset_batch_7_geo_batch7_0826,dataset_batch_7_geo_batch7_0826_sim_001,1.136900744,0.633432016,622.0732681,0.2371336,0.096940176,21.07498808,0.753264883,0,SUCCESS,0,0.000101717,1.040518522,1,11.25,0,0.007138608,117563658.8,0.001287007,0.001287007,0.000772939,1,60,16.66666667
dataset_batch_7_geo_batch7_0827,dataset_batch_7_geo_batch7_0827_sim_001,1.125495904,0.544069522,286.2725398,0.174071746,0.126207531,22.96529671,0.670661074,0,SUCCESS,0,0.000595145,1.126487851,1.082659483,13.5,11.25,0.012492564,125205545.8,0.003416082,0.003416082,0.002081291,2,60,16.66666667
dataset_batch_7_geo_batch7_0828,dataset_batch_7_geo_batch7_0828_sim_001,1.163018265,0.496351402,614.0033703,0.158118298,0.123450788,26.38884465,0.448464684,0,SUCCESS,0,0.00017132,1.082659483,1.040518522,90,4.499999523,0.016656752,145196768.3,0.002206721,0.002206721,0.0008032,2,60,16.66666667
dataset_batch_7_geo_batch7_0829,dataset_batch_7_geo_batch7_0829_sim_001,1.032328738,0.551664176,312.4070363,0.151220671,0.077489411,21.29387827,0.508372785,0,SUCCESS,0,0.000615004,1.082659483,1.040518522,90,90,0.018441404,111782057.4,0.003168633,0.003168633,0.001132916,2,60,16.66666667
