DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-33.28866566,0.027941929,7871178918,7.35E-06,14437498286,9.92E-06,2.00116E+11,1.39E-05,1.20E-05,0.179454196,0.173462877,0.013808753,1.382625879,0.27909834,0.18861769,0.27909834
-35.4155818,0.040403978,20492704553,1.21E-05,7413772372,1.28E-05,1.93986E+11,1.29E-05,9.03E-05,0.447159646,0.194645235,0.017788384,0.65158562,0.278124484,0.321777643,0.321777643
-60.87812044,0.016341133,3658528698,9.37E-06,31474743100,5.13E-06,2.08791E+11,1.12E-05,2.84E-06,0.773639614,0.125527114,0.019087522,1.671130263,0.11379708,0.187115061,0.187115061
-62.71636618,0.054787104,22373643385,7.75E-06,5115746208,4.77E-06,1.96835E+11,1.04E-05,4.35E-06,0.404641505,0.131755398,0.021147834,1.235464404,0.173642138,0.170960008,0.173642138
-41.07684957,0.035651702,3064710349,1.49E-05,21712096139,1.12E-05,2.01641E+11,1.35E-05,1.38E-05,1.785092902,0.188417,0.015975441,0.743405874,0.244280438,0.393436205,0.393436205
-27.6415756,0.045295521,9978549056,9.72E-06,38738277318,9.56E-06,1.93008E+11,1.27E-05,5.79E-05,4.482209763,0.167191918,0.013430574,1.429997102,0.222608196,0.253884343,0.253884343
-68.56552348,0.02545701,6702979712,1.30E-05,10051904252,6.43E-06,2.07891E+11,1.14E-05,1.84E-06,0.161134018,0.11213554,0.023693694,0.635302581,0.139986829,0.220719824,0.220719824
-73.91137045,0.03904577,4453416658,1.13E-05,15637555697,6.18E-06,1.9243E+11,1.22E-05,4.76E-05,1.050230639,0.15475995,0.022453024,1.802259528,0.188093503,0.294623428,0.294623428
-22.26474375,0.020613423,19136063309,1.00E-05,44147737403,1.21E-05,2.07235E+11,1.18E-05,1.50E-06,0.685920136,0.124702046,0.014828946,0.508050597,0.146392671,0.175029474,0.175029474
-46.45380883,0.049943454,5638852791,1.33E-05,25000005800,1.04E-05,1.98664E+11,1.09E-05,6.36E-06,0.243596891,0.144297275,0.017171675,1.054244399,0.175050248,0.293989224,0.293989224
-57.37067791,0.029401716,14261871976,8.03E-06,8031381927,7.84E-06,2.03546E+11,1.30E-05,2.01E-05,2.957592471,0.175960404,0.020111287,0.877909469,0.255803051,0.214847025,0.255803051
-56.25879521,0.038762511,15124257001,9.43E-06,54054120896,6.26E-06,1.9979E+11,1.36E-05,1.21E-06,0.17323045,0.164211637,0.015577001,1.011231764,0.271221903,0.222870947,0.271221903
